구,확진자수
종로구,170
중구,171
용산구,309
성동구,304
광진구,277
동대문구,414
중랑구,477
성북구,570
강북구,261
도봉구,406
노원구,569
은평구,508
서대문구,356
마포구,421
양천구,445
강서구,921
구로구,362
금천구,173
영등포구,428
동작구,571
관악구,712
서초구,630
강남구,691
송파구,787
